  plot trt day lwt
1 1 1 14 0.106
2 1 1 21 0.261
3 1 1 28 0.666
4 1 1 35 2.11
5 1 1 42 3.56
6 1 1 49 6.23
7 1 1 56 8.71
8 1 1 63 13.35
9 1 1 70 16.341667
10 1 1 77 17.750833
11 2 1 14 0.104
12 2 1 21 0.269
13 2 1 28 0.778
14 2 1 35 2.12
15 2 1 42 2.93
16 2 1 49 5.29
17 2 1 56 9.5
18 2 1 70 16.966667
19 2 1 77 17.746667
20 3 1 14 0.108
21 3 1 21 0.291
22 3 1 28 0.667
23 3 1 35 2.05
24 3 1 42 3.81
25 3 1 49 6.13
26 3 1 56 10.28
27 3 1 63 18.08
28 3 1 70 20.1825
29 3 1 77 21.810833
30 4 1 14 0.105
31 4 1 21 0.299
32 4 1 28 0.844
33 4 1 35 1.32
34 4 1 42 2.24
35 4 1 49 4.68
36 4 1 56 8.82
37 4 1 63 15.09
38 4 1 70 14.66
39 4 1 77 14.004615
40 5 1 14 0.101
41 5 1 21 0.273
42 5 1 28 0.848
43 5 1 35 1.95
44 5 1 42 4.77
45 5 1 49 6.01
46 5 1 56 9.91
47 5 1 70 19.262308
48 6 1 14 0.106
49 6 1 21 0.337
50 6 1 28 0.699
51 6 1 35 1.53
52 6 1 42 3.87
53 6 1 49 5.6
54 6 1 56 9.43
55 6 1 63 13.73
56 6 1 70 17.380833
57 6 1 77 19.932308
58 7 1 14 0.102
59 7 1 21 0.275
60 7 1 28 0.767
61 7 1 35 1.45
62 7 1 42 3.95
63 7 1 49 4.94
64 7 1 56 9.64
65 7 1 70 17.88
66 7 1 77 17.724167
67 8 1 14 0.103
68 8 1 21 0.273
69 8 1 28 0.742
70 8 1 35 1.41
71 8 1 42 3.01
72 8 1 49 5.26
73 8 1 56 9.81
74 8 1 63 12.85
75 8 1 70 18.214167
76 8 1 77 19.68
77 9 2 14 0.131
78 9 2 21 0.338
79 9 2 28 0.701
80 9 2 35 1.66
81 9 2 42 4.25
82 9 2 49 9.24
83 9 2 56 12.15
84 9 2 63 16.78
85 9 2 70 15.925
86 9 2 77 17.272308
87 10 2 14 0.128
88 10 2 21 0.404
89 10 2 28 0.897
90 10 2 35 1.78
91 10 2 42 3.91
92 10 2 49 7.4
93 10 2 56 10.07
94 10 2 63 18.86
95 10 2 70 17.011667
96 10 2 77 27.37
97 11 2 14 0.131
98 11 2 21 0.379
99 11 2 28 1.126
100 11 2 35 2.44
101 11 2 42 3.89
102 11 2 49 6.91
103 11 2 56 12.49
104 11 2 63 15.67
105 11 2 70 23.763333
106 11 2 77 21.490833
107 12 2 14 0.154
108 12 2 21 0.357
109 12 2 28 1.181
110 12 2 35 1.83
111 12 2 42 4.71
112 12 2 49 10.71
113 12 2 56 9.91
114 12 2 63 15.51
115 12 2 70 14.957857
116 12 2 77 21.8
117 13 2 14 0.139
118 13 2 21 0.328
119 13 2 28 0.932
120 13 2 35 1.99
121 13 2 42 3.46
122 13 2 49 7.02
123 13 2 56 11.79
124 13 2 63 15.83
125 13 2 70 15.920833
126 13 2 77 17.441667
127 14 2 14 0.139
128 14 2 21 0.389
129 14 2 28 1.094
130 14 2 35 2.13
131 14 2 42 4.04
132 14 2 49 7.62
133 14 2 56 12.48
134 14 2 63 17.93
135 14 2 70 14.421667
136 14 2 77 30.271667
137 15 2 14 0.145
138 15 2 21 0.366
139 15 2 28 0.799
140 15 2 35 1.61
141 15 2 42 3.51
142 15 2 49 6.79
143 15 2 56 9.95
144 15 2 63 14.54
145 15 2 70 19.28
146 15 2 77 22.572727
147 16 2 14 0.13
148 16 2 21 0.355
149 16 2 28 1.09
150 16 2 35 2.28
151 16 2 42 3.94
152 16 2 49 4.96
153 16 2 56 10.92
154 16 2 63 14.02
155 16 2 70 17.994167
156 16 2 77 22.370833
157 17 3 14 0.047
158 17 3 20 0.136
159 17 3 27 0.272833
160 17 3 34 0.983333
161 17 3 41 1.796667
162 17 3 55 4.117143
163 17 3 69 11.037143
164 17 3 84 10.403333
165 18 3 14 0.035
166 18 3 20 0.112
167 18 3 27 0.268
168 18 3 34 1.053333
169 18 3 41 1.715
170 18 3 55 6.728333
171 18 3 69 10.313333
172 18 3 84 11.088333
173 19 3 14 0.044
174 19 3 20 0.146
175 19 3 27 0.3605
176 19 3 34 0.775
177 19 3 41 1.641667
178 19 3 55 3.748333
179 19 3 69 10.875
180 19 3 84 16.0275
181 20 3 14 0.049
182 20 3 20 0.097
183 20 3 27 0.2275
184 20 3 34 0.833333
185 20 3 41 1.354
186 20 3 55 5.988333
187 20 3 69 10.585
188 20 3 84 10.911429
189 21 3 14 0.039
190 21 3 20 0.121
191 21 3 27 0.271667
192 21 3 34 0.658333
193 21 3 41 2.39
194 21 3 55 5.483333
195 21 3 69 9.936667
196 21 3 84 8.888333
197 22 3 14 0.029
198 22 3 20 0.092
199 22 3 27 0.251
200 22 3 34 0.541667
201 22 3 41 1.061667
202 22 3 55 4.83
203 22 3 69 6.271667
204 22 3 84 8.583333
205 23 3 14 0.041
206 23 3 20 0.145
207 23 3 27 0.405333
208 23 3 34 0.76
209 23 3 41 1.493333
210 23 3 55 6.248333
211 23 3 69 11.111667
212 23 3 84 8.88
213 24 3 14 0.038
214 24 3 20 0.127
215 24 3 27 0.340167
216 24 3 34 0.994
217 24 3 41 2.281667
218 24 3 55 8.506
219 24 3 69 8.973333
220 24 3 84 11.632
221 25 4 14 0.07
222 25 4 20 0.208
223 25 4 27 0.600833
224 25 4 34 1.901667
225 25 4 41 2.965
226 25 4 55 8.143333
227 25 4 69 15.7
228 25 4 84 19.888333
229 26 4 14 0.068
230 26 4 20 0.252
231 26 4 27 0.5805
232 26 4 34 2.014
233 26 4 41 2.673333
234 26 4 55 8.8
235 26 4 69 14.485
236 26 4 84 22.643333
237 27 4 14 0.077
238 27 4 20 0.224
239 27 4 27 0.341333
240 27 4 34 1.74
241 27 4 41 4.524
242 27 4 55 11.656667
243 27 4 69 20.316667
244 27 4 84 21.402
245 28 4 14 0.099
246 28 4 20 0.198
247 28 4 27 0.491167
248 28 4 34 1.205
249 28 4 41 2.8
250 28 4 55 7.363333
251 28 4 69 15.141667
252 28 4 84 17.186667
